APN,APN_SORT,YearBuilt,SitusStreetNumber,SitusStreetName,SitusUnit,SitusCity,SitusZip,SitusAddress,MailingAddress,line_1,line_2,city,state,postal
34-2283-3,034 228300300,1910,925,53RD AVE,,OAKLAND,94601,925 53RD AVE OAKLAND 94601,31860 CHICOINE AVE HAYWARD CA 94544,925 53RD AVE,,OAKLAND,CA,94601
34-2283-9,034 228300900,1912,831,53RD AVE,,OAKLAND,94601,831 53RD AVE OAKLAND 94601,831 53RD AVE OAKLAND CA 94601,831 53RD AVE,,OAKLAND,CA,94601
34-2283-2,034 228300200,1910,5225,E 10TH ST,,OAKLAND,94601,5225 E 10TH ST OAKLAND 94601,5220 E 10TH ST OAKLAND CA 94601,5225 E 10TH ST,,OAKLAND,CA,94601
34-2282-11,034 228201100,0,801,52ND AVE,,OAKLAND,94601,801 52ND AVE OAKLAND 94601,800 51ST AVE OAKLAND CA 94601,801 52ND AVE,,OAKLAND,CA,94601
34-2282-12,034 228201200,0,800,51ST AVE,,OAKLAND,94601,800 51ST AVE OAKLAND 94601,800 51ST AVE OAKLAND CA 94601,800 51ST AVE,,OAKLAND,CA,94601
34-2282-16,034 228201600,1916,824,51ST AVE,,OAKLAND,94601,824 51ST AVE OAKLAND 94601,824 51ST AVE OAKLAND CA 94601,824 51ST AVE,,OAKLAND,CA,94601
34-2282-6-2,034 228200602,1920,821,52ND AVE,,OAKLAND,94601,821 52ND AVE OAKLAND 94601,1044 FAIR OAKS AVE ALAMEDA CA 94501,821 52ND AVE,,OAKLAND,CA,94601
34-2282-8,034 228200800,1906,815,52ND AVE,,OAKLAND,94601,815 52ND AVE OAKLAND 94601,815 52ND AVE OAKLAND CA 94601,815 52ND AVE,,OAKLAND,CA,94601
34-2282-13,034 228201300,1906,804,51ST AVE,,OAKLAND,94601,804 51ST AVE OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,804 51ST AVE,,OAKLAND,CA,94601
34-2282-15-1,034 228201501,1906,812,51ST AVE,,OAKLAND,94601,812 51ST AVE OAKLAND 94601,812 51ST AVE OAKLAND CA 94601,812 51ST AVE,,OAKLAND,CA,94601
34-2282-7,034 228200700,1906,817,52ND AVE,,OAKLAND,94601,817 52ND AVE OAKLAND 94601,817 52ND AVE OAKLAND CA 94601,817 52ND AVE,,OAKLAND,CA,94601
34-2282-17-1,034 228201701,0,5101,SAN LEANDRO ST,,OAKLAND,94601,5101 SAN LEANDRO ST OAKLAND 94601,18003 ALMOND RD CASTRO VALLEY CA 94546,5101 SAN LEANDRO ST,,OAKLAND,CA,94601
34-2282-4,034 228200400,1910,905,52ND AVE,,OAKLAND,94601,905 52ND AVE OAKLAND 94601,1230 5TH AVE OAKLAND CA 94606,905 52ND AVE,,OAKLAND,CA,94601
34-2282-19-1,034 228201901,0,910,51ST AVE,,OAKLAND,94601,910 51ST AVE OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,910 51ST AVE,,OAKLAND,CA,94601
34-2282-5-5,034 228200505,0,825,52ND AVE,,OAKLAND,94601,825 52ND AVE OAKLAND 94601,2439 CARMEL ST OAKLAND CA 94602,825 52ND AVE,,OAKLAND,CA,94601
34-2282-3-2,034 228200302,1947,919,52ND AVE,,OAKLAND,94601,919 52ND AVE OAKLAND 94601,919 52ND AVE OAKLAND CA 94601,919 52ND AVE,,OAKLAND,CA,94601
34-2282-10,034 228201000,1906,805,52ND AVE,,OAKLAND,94601,805 52ND AVE OAKLAND 94601,805 52ND AVE OAKLAND CA 94601,805 52ND AVE,,OAKLAND,CA,94601
34-2282-9,034 228200900,1906,809,52ND AVE,,OAKLAND,94601,809 52ND AVE OAKLAND 94601,1235 WILLIAMSON RD MANTECA CA 95337,809 52ND AVE,,OAKLAND,CA,94601
34-2281-6-3,034 228100603,1955,850,50TH AVE,,OAKLAND,94601,850 50TH AVE OAKLAND 94601,801 51ST AVE OAKLAND CA 94601,850 50TH AVE,,OAKLAND,CA,94601
34-2281-2-2,034 228100202,1975,845,51ST AVE,,OAKLAND,94601,845 51ST AVE OAKLAND 94601,1704 38TH AVE OAKLAND CA 94601,845 51ST AVE,,OAKLAND,CA,94601
34-2281-13-2,034 228101302,1970,876,50TH AVE,,OAKLAND,94601,876 50TH AVE OAKLAND 94601,2016 THOMAS AVE SAN LEANDRO CA 94577,876 50TH AVE,,OAKLAND,CA,94601
34-2281-1,034 228100100,1921,5031,E 10TH ST,,OAKLAND,94601,5031 E 10TH ST OAKLAND 94601,7777 BATES RD TRACY CA 95304,5031 E 10TH ST,,OAKLAND,CA,94601
34-2281-11,034 228101100,0,870,50TH AVE,,OAKLAND,94601,870 50TH AVE OAKLAND 94601,2016 THOMAS AVE SAN LEANDRO CA 94577,870 50TH AVE,,OAKLAND,CA,94601
34-2281-10,034 228101000,0,868,50TH AVE,,OAKLAND,94601,868 50TH AVE OAKLAND 94601,22349 QUEEN ST CASTRO VALLEY CA 94546,868 50TH AVE,,OAKLAND,CA,94601
34-2281-4,034 228100400,1955,821,51ST AVE,,OAKLAND,94601,821 51ST AVE OAKLAND 94601,801 51ST AVE OAKLAND CA 94601,821 51ST AVE,,OAKLAND,CA,94601
34-2281-12,034 228101200,0,872,50TH AVE,,OAKLAND,94601,872 50TH AVE OAKLAND 94601,2016 THOMAS AVE SAN LEANDRO CA 94577,872 50TH AVE,,OAKLAND,CA,94601
34-2281-3,034 228100300,1912,827,51ST AVE,,OAKLAND,94601,827 51ST AVE OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,827 51ST AVE,,OAKLAND,CA,94601
34-2280-7-1,034 228000701,2009,1037,51ST AVE,,OAKLAND,94601,1037 51ST AVE OAKLAND 94601,2492 ROUNDHILL RD ALAMO CA 94507,1037 51ST AVE,,OAKLAND,CA,94601
34-2280-10-1,034 228001001,1957,1017,51ST AVE,,OAKLAND,94601,1017 51ST AVE OAKLAND 94601,PO BOX 7309 OAKLAND CA 94601,1017 51ST AVE,,OAKLAND,CA,94601
34-2280-14,034 228001400,1908,5010,E 10TH ST,,OAKLAND,94601,5010 E 10TH ST OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,5010 E 10TH ST,,OAKLAND,CA,94601
34-2280-12,034 228001200,1908,5020,E 10TH ST,,OAKLAND,94601,5020 E 10TH ST OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,5020 E 10TH ST,,OAKLAND,CA,94601
34-2280-11,034 228001100,1908,1011,51ST AVE,,OAKLAND,94601,1011 51ST AVE OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,1011 51ST AVE,,OAKLAND,CA,94601
34-2280-22-2,034 228002202,1924,1058,50TH AVE,,OAKLAND,94601,1058 50TH AVE OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,1058 50TH AVE,,OAKLAND,CA,94601
34-2280-3,034 228000300,1908,5015,E 12TH ST,,OAKLAND,94601,5015 E 12TH ST OAKLAND 94601,5015 E 12TH ST OAKLAND CA 94601,5015 E 12TH ST,,OAKLAND,CA,94601
34-2280-17,034 228001700,1908,1010,50TH AVE,,OAKLAND,94601,1010 50TH AVE OAKLAND 94601,1010 50TH AVE OAKLAND CA 94601,1010 50TH AVE,,OAKLAND,CA,94601
34-2280-2,034 228000200,1900,5009,E 12TH ST,,OAKLAND,94601,5009 E 12TH ST OAKLAND 94601,5009 E 12TH ST OAKLAND CA 94601,5009 E 12TH ST,,OAKLAND,CA,94601
34-2280-19,034 228001900,1917,1024,50TH AVE,,OAKLAND,94601,1024 50TH AVE OAKLAND 94601,2815 MARINA DR ALAMEDA CA 94501,1024 50TH AVE,,OAKLAND,CA,94601
34-2280-1,034 228000100,0,1064,50TH AVE,,OAKLAND,94601,1064 50TH AVE OAKLAND 94601,10700 CAMERON AVE OAKLAND CA 94605,1064 50TH AVE,,OAKLAND,CA,94601
34-2280-18,034 228001800,0,1018,50TH AVE,,OAKLAND,94601,1018 50TH AVE OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,1018 50TH AVE,,OAKLAND,CA,94601
34-2280-8,034 228000800,1962,1029,51ST AVE,,OAKLAND,94601,1029 51ST AVE OAKLAND 94601,PO BOX 7309 OAKLAND CA 94601,1029 51ST AVE,,OAKLAND,CA,94601
34-2280-15,034 228001500,1924,5006,E 10TH ST,,OAKLAND,94601,5006 E 10TH ST OAKLAND 94601,7433 S MCKINLEY AVE FRENCH CAMP CA 95231,5006 E 10TH ST,,OAKLAND,CA,94601
34-2280-21,034 228002100,1908,1038,50TH AVE,,OAKLAND,94601,1038 50TH AVE OAKLAND 94601,1038 50TH AVE OAKLAND CA 94601,1038 50TH AVE,,OAKLAND,CA,94601
34-2280-4,034 228000400,1900,5021,E 12TH ST,,OAKLAND,94601,5021 E 12TH ST OAKLAND 94601,5021 E 12TH ST OAKLAND CA 94601,5021 E 12TH ST,,OAKLAND,CA,94601
34-2280-20,034 228002000,1966,1032,50TH AVE,,OAKLAND,94601,1032 50TH AVE OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,1032 50TH AVE,,OAKLAND,CA,94601
34-2280-16,034 228001600,1908,1006,50TH AVE,,OAKLAND,94601,1006 50TH AVE OAKLAND 94601,7433 S MCKINLEY AVE FRENCH CAMP CA 95231,1006 50TH AVE,,OAKLAND,CA,94601
34-2280-5,034 228000500,0,5035,E 12TH ST,,OAKLAND,94601,5035 E 12TH ST OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,5035 E 12TH ST,,OAKLAND,CA,94601
34-2280-22-1,034 228002201,1908,1044,50TH AVE,,OAKLAND,94601,1044 50TH AVE OAKLAND 94601,1044 50TH AVE OAKLAND CA 94601,1044 50TH AVE,,OAKLAND,CA,94601
34-2280-13,034 228001300,1908,5014,E 10TH ST,,OAKLAND,94601,5014 E 10TH ST OAKLAND 94601,5014 E 10TH ST OAKLAND CA 94601,5014 E 10TH ST,,OAKLAND,CA,94601
34-2279-23-1,034 227902301,1999,1040,51ST AVE,,OAKLAND,94601,1040 51ST AVE OAKLAND 94601,PO BOX 7309 OAKLAND CA 94601,1040 51ST AVE,,OAKLAND,CA,94601
34-2279-14,034 227901400,1906,5130,E 10TH ST,,OAKLAND,94601,5130 E 10TH ST OAKLAND 94601,2942 ROUNDHILL RD ALAMO CA 94507,5130 E 10TH ST,,OAKLAND,CA,94601
34-2279-15,034 227901500,0,5114,E 10TH ST,,OAKLAND,94601,5114 E 10TH ST OAKLAND 94601,5114 E 10TH ST OAKLAND CA 94601,5114 E 10TH ST,,OAKLAND,CA,94601
34-2279-19,034 227901900,1917,1014,51ST AVE,,OAKLAND,94601,1014 51ST AVE OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,1014 51ST AVE,,OAKLAND,CA,94601
34-2279-11-1,034 227901101,1999,1019,52ND AVE,,OAKLAND,94601,1019 52ND AVE OAKLAND 94601,PO BOX 7309 OAKLAND CA 94601,1019 52ND AVE,,OAKLAND,CA,94601
34-2279-7,034 227900700,1906,1033,52ND AVE,,OAKLAND,94601,1033 52ND AVE OAKLAND 94601,1029 52ND AVE OAKLAND CA 94601,1033 52ND AVE,,OAKLAND,CA,94601
34-2279-1,034 227900100,0,5101,E 12TH ST,,OAKLAND,94601,5101 E 12TH ST OAKLAND 94601,2942 ROUNDHILL RD ALAMO CA 94507,5101 E 12TH ST,,OAKLAND,CA,94601
34-2279-20,034 227902000,1917,1020,51ST AVE,,OAKLAND,94601,1020 51ST AVE OAKLAND 94601,1029 51ST AVE OAKLAND CA 94601,1020 51ST AVE,,OAKLAND,CA,94601
34-2279-13-1,034 227901301,1906,5134,E 10TH ST,,OAKLAND,94601,5134 E 10TH ST OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,5134 E 10TH ST,,OAKLAND,CA,94601
34-2279-18-1,034 227901801,1916,5106,E 10TH ST,,OAKLAND,94601,5106 E 10TH ST OAKLAND 94601,2942 ROUNDHILL RD ALAMO CA 94507,5106 E 10TH ST,,OAKLAND,CA,94601
34-2279-5,034 227900500,0,5125,E 12TH ST,,OAKLAND,94601,5125 E 12TH ST OAKLAND 94601,5121 E 12TH STREET OAKLAND CA 94601,5125 E 12TH ST,,OAKLAND,CA,94601
34-2279-2-4,034 227900204,0,5105,E 12TH ST,,OAKLAND,94601,5105 E 12TH ST OAKLAND 94601,2942 ROUNDHILL RD ALAMO CA 94507,5105 E 12TH ST,,OAKLAND,CA,94601
34-2279-4,034 227900400,0,5121,E 12TH ST,,OAKLAND,94601,5121 E 12TH ST OAKLAND 94601,5121 E 12TH STREET OAKLAND CA 94601,5121 E 12TH ST,,OAKLAND,CA,94601
34-2279-8,034 227900800,1910,1029,52ND AVE,,OAKLAND,94601,1029 52ND AVE OAKLAND 94601,1029 52ND AVE OAKLAND CA 94601,1029 52ND AVE,,OAKLAND,CA,94601
34-2279-6,034 227900600,1906,5129,E 12TH ST,,OAKLAND,94601,5129 E 12TH ST OAKLAND 94601,5129 E 12TH ST OAKLAND CA 94601,5129 E 12TH ST,,OAKLAND,CA,94601
34-2279-9-2,034 227900902,1999,1025,52ND AVE,,OAKLAND,94601,1025 52ND AVE OAKLAND 94601,2942 ROUNDHILL RD ALAMO CA 94507,1025 52ND AVE,,OAKLAND,CA,94601
34-2279-16,034 227901600,0,5114,E 10TH ST,,OAKLAND,94601,5114 E 10TH ST OAKLAND 94601,5114 E 10TH ST OAKLAND CA 94601,5114 E 10TH ST,,OAKLAND,CA,94601
34-2278-10,034 227801000,1900,5227,E 12TH ST,,OAKLAND,94601,5227 E 12TH ST OAKLAND 94601,5227 E 12TH ST OAKLAND CA 94601,5227 E 12TH ST,,OAKLAND,CA,94601
34-2278-20-1,034 227802001,1900,5316,E 10TH ST,,OAKLAND,94601,5316 E 10TH ST OAKLAND 94601,5316 E 10TH ST OAKLAND CA 94601,5316 E 10TH ST,,OAKLAND,CA,94601
34-2278-12,034 227801200,1910,5301,E 12TH ST,,OAKLAND,94601,5301 E 12TH ST OAKLAND 94601,5301 E 12TH ST OAKLAND CA 94601,5301 E 12TH ST,,OAKLAND,CA,94601
34-2278-5,034 227800500,1912,5201,E 12TH ST,,OAKLAND,94601,5201 E 12TH ST OAKLAND 94601,311 LINCOLN AVE ALAMEDA CA 94501,5201 E 12TH ST,,OAKLAND,CA,94601
34-2278-9,034 227800900,1956,5219,E 12TH ST,,OAKLAND,94601,5219 E 12TH ST OAKLAND 94601,20026 AUSTIN LN CASTRO VALLEY CA 94546,5219 E 12TH ST,,OAKLAND,CA,94601
34-2278-4,034 227800400,1910,1030,52ND AVE,,OAKLAND,94601,1030 52ND AVE OAKLAND 94601,1030 52ND AVE OAKLAND CA 94601,1030 52ND AVE,,OAKLAND,CA,94601
34-2278-8,034 227800800,1963,5215,E 12TH ST,,OAKLAND,94601,5215 E 12TH ST OAKLAND 94601,20026 AUSTIN LN CASTRO VALLEY CA 94546,5215 E 12TH ST,,OAKLAND,CA,94601
34-2278-19,034 227801900,1918,5326,E 10TH ST,,OAKLAND,94601,5326 E 10TH ST OAKLAND 94601,5326 E 10TH ST OAKLAND CA 94601,5326 E 10TH ST,,OAKLAND,CA,94601
34-2278-1,034 227800100,1938,5200,E 10TH ST,,OAKLAND,94601,5200 E 10TH ST OAKLAND 94601,5200 E 10TH ST OAKLAND CA 94601,5200 E 10TH ST,,OAKLAND,CA,94601
34-2278-11,034 227801100,1908,5231,E 12TH ST,,OAKLAND,94601,5231 E 12TH ST OAKLAND 94601,16829 PRESIDENT DR SAN LEANDRO CA 94578,5231 E 12TH ST,,OAKLAND,CA,94601
34-2278-3,034 227800300,1900,1028,52ND AVE,,OAKLAND,94601,1028 52ND AVE OAKLAND 94601,1028 52ND AVE OAKLAND CA 94601,1028 52ND AVE,,OAKLAND,CA,94601
34-2278-27-1,034 227802701,0,5212,E 10TH ST,,OAKLAND,94601,5212 E 10TH ST OAKLAND 94601,135 PALM AVE SAN CARLOS CA 94070,5212 E 10TH ST,,OAKLAND,CA,94601
34-2278-26,034 227802600,1910,5220,E 10TH ST,,OAKLAND,94601,5220 E 10TH ST OAKLAND 94601,5225 E 10TH ST OAKLAND CA 94601,5220 E 10TH ST,,OAKLAND,CA,94601
34-2278-18-2,034 227801802,1910,5334,E 10TH ST,,OAKLAND,94601,5334 E 10TH ST OAKLAND 94601,1015 54TH AVE OAKLAND CA 94601,5334 E 10TH ST,,OAKLAND,CA,94601
34-2278-24,034 227802400,1911,5300,E 10TH ST,,OAKLAND,94601,5300 E 10TH ST OAKLAND 94601,5227 E 12TH ST OAKLAND CA 94601,5300 E 10TH ST,,OAKLAND,CA,94601
34-2278-7,034 227800700,1905,5209,E 12TH ST,,OAKLAND,94601,5209 E 12TH ST OAKLAND 94601,5209 E 12TH ST OAKLAND CA 94601,5209 E 12TH ST,,OAKLAND,CA,94601
34-2278-6,034 227800600,1905,5205,E 12TH ST,,OAKLAND,94601,5205 E 12TH ST OAKLAND 94601,5205 E 12TH ST OAKLAND CA 94601,5205 E 12TH ST,,OAKLAND,CA,94601
34-2278-25,034 227802500,0,5224,E 10TH ST,,OAKLAND,94601,5224 E 10TH ST OAKLAND 94601,2565 LA DON CT CASTRO VALLEY CA 94546,5224 E 10TH ST,,OAKLAND,CA,94601
34-2278-23,034 227802300,1906,5306,E 10TH ST,,OAKLAND,94601,5306 E 10TH ST OAKLAND 94601,5306 E 10TH ST OAKLAND CA 94601,5306 E 10TH ST,,OAKLAND,CA,94601
34-2278-22,034 227802200,1900,5312,E 10TH ST,,OAKLAND,94601,5312 E 10TH ST OAKLAND 94601,5312 E 10TH ST OAKLAND CA 94601,5312 E 10TH ST,,OAKLAND,CA,94601
34-2278-18-1,034 227801801,1966,1015,54TH AVE,,OAKLAND,94601,1015 54TH AVE OAKLAND 94601,1015 54TH AVE OAKLAND CA 94601,1015 54TH AVE,,OAKLAND,CA,94601
34-2277-17,034 227701700,1918,1308,54TH AVE,,OAKLAND,94601,1308 54TH AVE OAKLAND 94601,2565 LA DON CT CASTRO VALLEY CA 94546,1308 54TH AVE,,OAKLAND,CA,94601
34-2277-7,034 227700700,1916,1360,54TH AVE,,OAKLAND,94601,1360 54TH AVE OAKLAND 94601,1360 54TH AVE OAKLAND CA 94601,1360 54TH AVE,,OAKLAND,CA,94601
34-2277-24,034 227702400,1910,1226,54TH AVE,,OAKLAND,94601,1226 54TH AVE OAKLAND 94601,5524 W IDA DR LITTLETON CO 80123,1226 54TH AVE,,OAKLAND,CA,94601
34-2277-25,034 227702500,1924,1222,54TH AVE,,OAKLAND,94601,1222 54TH AVE OAKLAND 94601,1222 54TH AVE OAKLAND CA 94601,1222 54TH AVE,,OAKLAND,CA,94601
34-2277-6,034 227700600,1900,1370,54TH AVE,,OAKLAND,94601,1370 54TH AVE OAKLAND 94601,1370 54TH AVE OAKLAND CA 94601,1370 54TH AVE,,OAKLAND,CA,94601
34-2277-27,034 227702700,1905,5410,E 12TH ST,,OAKLAND,94601,5410 E 12TH ST OAKLAND 94601,5410 E 12TH ST OAKLAND CA 94601,5410 E 12TH ST,,OAKLAND,CA,94601
34-2277-5,034 227700500,1912,1376,54TH AVE,,OAKLAND,94601,1376 54TH AVE OAKLAND 94601,1374 54TH AVE OAKLAND CA 94601,1376 54TH AVE,,OAKLAND,CA,94601
34-2277-23,034 227702300,1910,1228,54TH AVE,,OAKLAND,94601,1228 54TH AVE OAKLAND 94601,1228 54TH AVE OAKLAND CA 94601,1228 54TH AVE,,OAKLAND,CA,94601
34-2277-28,034 227702800,0,1208,54TH AVE,,OAKLAND,94601,1208 54TH AVE OAKLAND 94601,2815 MARINA DR ALAMEDA CA 94501,1208 54TH AVE,,OAKLAND,CA,94601
34-2277-22,034 227702200,1923,1232,54TH AVE,,OAKLAND,94601,1232 54TH AVE OAKLAND 94601,1232 54TH AVE OAKLAND CA 94601,1232 54TH AVE,,OAKLAND,CA,94601
34-2277-16,034 227701600,1918,1312,54TH AVE,,OAKLAND,94601,1312 54TH AVE OAKLAND 94601,1312 54TH AVE OAKLAND CA 94601,1312 54TH AVE,,OAKLAND,CA,94601
34-2277-4,034 227700400,0,1382,54TH AVE,,OAKLAND,94601,1382 54TH AVE OAKLAND 94601,1382 54TH AVE OAKLAND CA 94601,1382 54TH AVE,,OAKLAND,CA,94601
34-2277-3,034 227700300,0,5415,INTERNATIONAL BLVD,,OAKLAND,94601,5415 INTERNATIONAL BLVD OAKLAND 94601,5415 INTERNATIONAL BLVD OAKLAND CA 94601,5415 INTERNATIONAL BL,,OAKLAND,CA,94601
34-2277-8,034 227700800,1918,1356,54TH AVE,,OAKLAND,94601,1356 54TH AVE OAKLAND 94601,1356 54TH AVE OAKLAND CA 94601,1356 54TH AVE,,OAKLAND,CA,94601
34-2277-11,034 227701100,1917,1336,54TH AVE,,OAKLAND,94601,1336 54TH AVE OAKLAND 94601,1336 54TH AVE OAKLAND CA 94601,1336 54TH AVE,,OAKLAND,CA,94601
34-2277-15,034 227701500,1917,1316,54TH AVE,,OAKLAND,94601,1316 54TH AVE OAKLAND 94601,1316 54TH AVE OAKLAND CA 94601,1316 54TH AVE,,OAKLAND,CA,94601
34-2277-26,034 227702600,1910,1218,54TH AVE,,OAKLAND,94601,1218 54TH AVE OAKLAND 94601,1218 54TH AVE OAKLAND CA 94601,1218 54TH AVE,,OAKLAND,CA,94601
34-2277-9,034 227700900,1917,1350,54TH AVE,,OAKLAND,94601,1350 54TH AVE OAKLAND 94601,1350 54TH AVE OAKLAND CA 94601,1350 54TH AVE,,OAKLAND,CA,94601
34-2277-14,034 227701400,1917,1320,54TH AVE,,OAKLAND,94601,1320 54TH AVE OAKLAND 94601,5326 E 10TH ST OAKLAND CA 94601,1320 54TH AVE,,OAKLAND,CA,94601
34-2277-12,034 227701200,1917,1330,54TH AVE,,OAKLAND,94601,1330 54TH AVE OAKLAND 94601,1330 54TH AVE OAKLAND CA 94601,1330 54TH AVE,,OAKLAND,CA,94601
34-2277-21,034 227702100,1922,1234,54TH AVE,,OAKLAND,94601,1234 54TH AVE OAKLAND 94601,1234 54TH AVE OAKLAND CA 94601,1234 54TH AVE,,OAKLAND,CA,94601
34-2277-19,034 227701900,1918,1300,54TH AVE,,OAKLAND,94601,1300 54TH AVE OAKLAND 94601,1300 54TH AVE OAKLAND CA 94601,1300 54TH AVE,,OAKLAND,CA,94601
34-2277-1-1,034 227700101,0,5409,INTERNATIONAL BLVD,,OAKLAND,94601,5409 INTERNATIONAL BLVD OAKLAND 94601,4428 M L KING JR WAY OAKLAND CA 94609,5409 INTERNATIONAL BL,,OAKLAND,CA,94601
34-2277-20,034 227702000,1929,1248,54TH AVE,,OAKLAND,94601,1248 54TH AVE OAKLAND 94601,1248 54TH AVE OAKLAND CA 94601,1248 54TH AVE,,OAKLAND,CA,94601
34-2277-18,034 227701800,1918,1304,54TH AVE,,OAKLAND,94601,1304 54TH AVE OAKLAND 94601,1304 54TH AVE OAKLAND CA 94601,1304 54TH AVE,,OAKLAND,CA,94601
34-2277-13,034 227701300,1917,1324,54TH AVE,,OAKLAND,94601,1324 54TH AVE OAKLAND 94601,1324 54TH AVE OAKLAND CA 94601,1324 54TH AVE,,OAKLAND,CA,94601
34-2277-10,034 227701000,1917,1344,54TH AVE,,OAKLAND,94601,1344 54TH AVE OAKLAND 94601,1344 54TH AVE OAKLAND CA 94601,1344 54TH AVE,,OAKLAND,CA,94601
34-2275-50,034 227505000,1906,1328,53RD AVE,,OAKLAND,94601,1328 53RD AVE OAKLAND 94601,1320 53RD AVE OAKLAND CA 94601,1328 53RD AVE,,OAKLAND,CA,94601
34-2275-17,034 227501700,1918,1325,54TH AVE,,OAKLAND,94601,1325 54TH AVE OAKLAND 94601,1325 54TH AVE OAKLAND CA 94601,1325 54TH AVE,,OAKLAND,CA,94601
34-2275-52,034 227505200,1909,1336,53RD AVE,,OAKLAND,94601,1336 53RD AVE OAKLAND 94601,1336 53RD AVE OAKLAND CA 94601,1336 53RD AVE,,OAKLAND,CA,94601
34-2275-35,034 227503500,1912,1212,53RD AVE,,OAKLAND,94601,1212 53RD AVE OAKLAND 94601,1204 53RD AVE OAKLAND CA 94601,1212 53RD AVE,,OAKLAND,CA,94601
34-2275-8,034 227500800,0,5337,INTERNATIONAL BLVD,,OAKLAND,94601,5337 INTERNATIONAL BLVD OAKLAND 94601,4428 M L KING JR WAY OAKLAND CA 94609,5337 INTERNATIONAL BL,,OAKLAND,CA,94601
34-2275-47,034 227504700,1906,1306,53RD AVE,,OAKLAND,94601,1306 53RD AVE OAKLAND 94601,1306 53RD AVE OAKLAND CA 94601,1306 53RD AVE,,OAKLAND,CA,94601
34-2275-44,034 227504400,1906,1244,53RD AVE,,OAKLAND,94601,1244 53RD AVE OAKLAND 94601,1244 53RD AVE OAKLAND CA 94601,1244 53RD AVE,,OAKLAND,CA,94601
34-2275-21,034 227502100,1918,1309,54TH AVE,,OAKLAND,94601,1309 54TH AVE OAKLAND 94601,21 OYSTER SHLS ALAMEDA CA 94502,1309 54TH AVE,,OAKLAND,CA,94601
34-2275-32-1,034 227503201,1949,5320,E 12TH ST,,OAKLAND,94601,5320 E 12TH ST OAKLAND 94601,5305 E 12TH ST OAKLAND CA 94601,5320 E 12TH ST,,OAKLAND,CA,94601
34-2275-56,034 227505600,1906,1354,53RD AVE,,OAKLAND,94601,1354 53RD AVE OAKLAND 94601,1354 53RD AVE OAKLAND CA 94601,1354 53RD AVE,,OAKLAND,CA,94601
34-2275-20,034 227502000,1918,1313,54TH AVE,,OAKLAND,94601,1313 54TH AVE OAKLAND 94601,1313 54TH AVE OAKLAND CA 94601,1313 54TH AVE,,OAKLAND,CA,94601
34-2275-13,034 227501300,1918,1349,54TH AVE,,OAKLAND,94601,1349 54TH AVE OAKLAND 94601,1349 54TH AVE OAKLAND CA 94601,1349 54TH AVE,,OAKLAND,CA,94601
34-2275-11,034 227501100,1918,1359,54TH AVE,,OAKLAND,94601,1359 54TH AVE OAKLAND 94601,1359 54TH AVE OAKLAND CA 94601,1359 54TH AVE,,OAKLAND,CA,94601
34-2275-15,034 227501500,1918,1335,54TH AVE,,OAKLAND,94601,1335 54TH AVE OAKLAND 94601,1335 54TH AVE OAKLAND CA 94601,1335 54TH AVE,,OAKLAND,CA,94601
34-2275-18,034 227501800,1918,1321,54TH AVE,,OAKLAND,94601,1321 54TH AVE OAKLAND 94601,1321 54TH AVE OAKLAND CA 94601,1321 54TH AVE,,OAKLAND,CA,94601
34-2275-46,034 227504600,1912,1300,53RD AVE,,OAKLAND,94601,1300 53RD AVE OAKLAND 94601,2768 PEPPERWOOD PL HAYWARD CA 94541,1300 53RD AVE,,OAKLAND,CA,94601
34-2275-34,034 227503400,1908,1204,53RD AVE,,OAKLAND,94601,1204 53RD AVE OAKLAND 94601,1044 FAIR OAKS AVE ALAMEDA CA 94501,1204 53RD AVE,,OAKLAND,CA,94601
34-2275-12,034 227501200,1918,1355,54TH AVE,,OAKLAND,94601,1355 54TH AVE OAKLAND 94601,1355 54TH AVE OAKLAND CA 94601,1355 54TH AVE,,OAKLAND,CA,94601
34-2275-10,034 227501000,1918,1367,54TH AVE,,OAKLAND,94601,1367 54TH AVE OAKLAND 94601,2800 INTERNATIONAL BLVD OAKLAND CA 94601,1367 54TH AVE,,OAKLAND,CA,94601
34-2275-1,034 227500100,1925,5301,INTERNATIONAL BLVD,,OAKLAND,94601,5301 INTERNATIONAL BLVD OAKLAND 94601,10081 ALCOSTA BLVD SAN RAMON CA 94583,5301 INTERNATIONAL BL,,OAKLAND,CA,94601
34-2275-53,034 227505300,1983,1340,53RD AVE,,OAKLAND,94601,1340 53RD AVE OAKLAND 94601,1340 53RD AVE OAKLAND CA 94601,1340 53RD AVE,,OAKLAND,CA,94601
