,acct_no,dba,owner,sic_code,sic_desc,full_addr,st_no,st_name,even,zipcode,city,apn_sort,dist_parc_to_sales
2168,43643,FLAKE JAMES K,"Flake, James K",6513001.0,Operators Of Apartment Buildings,"1752 69TH AVE OAKLAND, CA 94621-3428",1752,69TH AVE,True,94621,OAKLAND,039 331502801,3.41334671844664
2169,43663,NICHOLS CREATIVE INVESTMENTS,"Nichols, John (trustee)",6513001.0,Operators Of Apartment Buildings,"5441 HOLLAND ST OAKLAND, CA 94601-5716",5441,HOLLAND ST,False,94601,OAKLAND,035 236600801,0.0
2170,43692,WANG LILY TR,"Wang, Lily",6512001.0,Operators Of Nonresidential Buildings,"4600 FAIRFAX AVE OAKLAND, CA 94601-4808",4600,FAIRFAX AVE,True,94601,OAKLAND,032 204500400,11.573498909593999
2171,43697,ORAL BROWN,"BROWN, ORAL",6513001.0,Operators Of Apartment Buildings,"234 TUNIS RD OAKLAND, CA 94603-1062",234,TUNIS RD,True,94603,OAKLAND,044 506700500,0.0
2172,43699,ORAL BROWN,"BROWN, ORAL",6513001.0,Operators Of Apartment Buildings,"9690 MADDUX DR OAKLAND, CA 94603-2161",9690,MADDUX DR,True,94603,OAKLAND,045 530201800,1.9392438164502002
2173,43702,ORAL BROWN,"BROWN, ORAL",6513001.0,Operators Of Apartment Buildings,"9825 WALNUT ST OAKLAND, CA 94603-2656",9825,WALNUT ST,False,94603,OAKLAND,046 543702300,1.8219080410526898
2174,43704,ORAL BROWN,"BROWN, ORAL",6513001.0,Operators Of Apartment Buildings,"5605 SCOVILLE ST OAKLAND, CA 94621-4347",5605,SCOVILLE ST,False,94621,OAKLAND,038 322901200,0.0
2175,43706,BROWN JOHNNIE L TR,"Brown, Johnnie L",6513001.0,Operators Of Apartment Buildings,"1246 79TH AVE OAKLAND, CA 94621-2608",1246,79TH AVE,True,94621,OAKLAND,041 419804400,9.28802695571947
2176,43710,LEE DANIEL K & JEANNE Y TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"1765 83RD AVE OAKLAND, CA 94621-2209",1765,83RD AVE,False,94621,OAKLAND,043 455801301,0.365335441570004
2177,43714,LEE DANIEL K & JEANNE Y TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"668 CLARA ST OAKLAND, CA 94603-1141",668,CLARA ST,True,94603,OAKLAND,044 501300801,4.35708844465645
2178,43716,LEE DANIEL K & JEANNE Y TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"1634 40TH AVE OAKLAND, CA 94601-4134",1634,40TH AVE,True,94601,OAKLAND,033 214400400,6.0367728621462
2179,43719,LEE DANIEL K & JEANNE Y TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"1434 102ND AVE OAKLAND, CA 94603-3224",1434,102ND AVE,True,94603,OAKLAND,047 551701802,0.0
2180,43723,LEE DANIEL K & JEANNE Y TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"1351 80TH AVE OAKLAND, CA 94621-2407",1351,80TH AVE,False,94621,OAKLAND,041 419800700,0.0
2181,43729,LEE DANIEL K & YEELEE JEANNE J TR,"Lee, Daniel K",6513001.0,Operators Of Apartment Buildings,"1112 82ND AVE OAKLAND, CA 94621-2430",1112,82ND AVE,True,94621,OAKLAND,042 425001900,1.36630241345963
2182,43745,JOSE R PEREZ,"PEREZ, JOSE R",6513001.0,Operators Of Apartment Buildings,"2111 CHURCH ST OAKLAND, CA 94621-3447",2111,CHURCH ST,False,94621,OAKLAND,039 326201100,0.0
2183,43747,JOSE R PEREZ,"PEREZ, JOSE R",6513001.0,Operators Of Apartment Buildings,"1426 51ST AVE OAKLAND, CA 94601-5233",1426,51ST AVE,True,94601,OAKLAND,035 236303200,5.865727685163799
2184,43773,KASHIKAR ALI,"Kashikar, Ali",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"10202 PIPPIN ST OAKLAND, CA 94603-3032",10202,PIPPIN ST,True,94603,OAKLAND,045 523300100,6.9978819990445995
2185,43775,KASHIKAR ALI,"Kashikar, Ali",6513001.0,Operators Of Apartment Buildings,"1434 92ND AVE OAKLAND, CA 94603-1406",1434,92ND AVE,True,94603,OAKLAND,046 542200100,5.8407268599633495
2186,43777,KASHIKAR ALI,"Kashikar, Ali",6513001.0,Operators Of Apartment Buildings,"1912 103RD AVE OAKLAND, CA 94603-3324",1912,103RD AVE,True,94603,OAKLAND,047 550003400,0.0
2187,43779,KASHIKAR ALI,"Kashikar, Ali",6513001.0,Operators Of Apartment Buildings,"2021 83RD AVE OAKLAND, CA 94621-2213",2021,83RD AVE,False,94621,OAKLAND,043 456601300,1.2540433385423602
2188,43784,GREEN FLORANCE M TR,"GREEN, FLORANCE M",6513001.0,Operators Of Apartment Buildings,"663 EL PASEO DR OAKLAND, CA 94603-3534",663,EL PASEO DR,False,94603,OAKLAND,045 539500400,6.979917098899049
2189,43787,GREER JEAN E,"Greer, Jean E",6513001.0,Operators Of Apartment Buildings,"2180 48TH AVE OAKLAND, CA 94601-4721",2180,48TH AVE,True,94601,OAKLAND,036 241602400,10.6538117166232
2190,43789,JEAN E GREER,"Greer, Jean E",6513001.0,Operators Of Apartment Buildings,"9424 SUNNYSIDE ST OAKLAND, CA 94603-1738",9424,SUNNYSIDE ST,True,94603,OAKLAND,046 546901501,4.16115270368478
2191,43791,BROUSSARD GREGORY E,"Broussard, Gregory E",6513001.0,Operators Of Apartment Buildings,"7400 HOLLY ST OAKLAND, CA 94621-2834",7400,HOLLY ST,True,94621,OAKLAND,040 332400900,8.143504060714559
2192,43793,BROUSSARD GREGORY E,"Broussard, Gregory E",6513001.0,Operators Of Apartment Buildings,"329 GRAMERCY PL OAKLAND, CA 94603-2913",329,GRAMERCY PL,False,94603,OAKLAND,045 537000105,0.861572695739198
2193,43864,JOE & MARY UNG,"Ung, Joe",6512001.0,Operators Of Nonresidential Buildings,"4000 FOOTHILL BLVD OAKLAND, CA 94601-4239",4000,FOOTHILL BLVD,True,94601,OAKLAND,032 208701800,14.187235100760601
2194,43876,WILEY PEARL J,"Wiley, Pearl J",6513001.0,Operators Of Apartment Buildings,"952 105TH AVE OAKLAND, CA 94603-3121",952,105TH AVE,True,94603,OAKLAND,045 521201900,4.83655237831178
2195,43890,YOUNG ARTHUR L SR TR,"YOUNG, ARTHUR L",6513001.0,Operators Of Apartment Buildings,"2821 FOOTHILL BLVD OAKLAND, CA 94601-2521",2821,FOOTHILL BLVD,False,94601,OAKLAND,025 072700200,1.99703378690165
2196,43911,HOAN V CHAU & TAM M HO,"Chau, Hoan V",6513001.0,Operators Of Apartment Buildings,"2803 COOLIDGE AVE OAKLAND, CA 94601-2719",2803,COOLIDGE AVE,False,94601,OAKLAND,027 084901100,2.9933800298158997
2197,43913,HOAN V CHAO & TAM M HO,"Chao, Hoan V",6513001.0,Operators Of Apartment Buildings,"2689 COOLIDGE AVE OAKLAND, CA 94601-2660",2689,COOLIDGE AVE,False,94601,OAKLAND,027 084602700,11.521878127802301
2198,43936,SEAMEW H CHEN,"CHEN, SEAMEW H",6513001.0,Operators Of Apartment Buildings,"3480 DAVIS ST OAKLAND, CA 94601-3233",3480,DAVIS ST,True,94601,OAKLAND,027 089501600,1.8440426864358703
2199,43951,TERRY & BERNADINE TATOM,"Tatom, Terry",6513001.0,Operators Of Apartment Buildings,"1350 82ND AVE OAKLAND, CA 94621-2434",1350,82ND AVE,True,94621,OAKLAND,042 424707601,9.354763521767829
2200,43971,DOUGLAS C & ALBERTA WASHINGTON,"Washington, Douglas C",6513001.0,Operators Of Apartment Buildings,"1055 73RD AVE OAKLAND, CA 94621-2909",1055,73RD AVE,False,94621,OAKLAND,041 414603800,0.0
2201,43973,WASHINGTON DOUGLAS C & ALBERTA,"Washington, Douglas C",6513001.0,Operators Of Apartment Buildings,"1056 73RD AVE OAKLAND, CA 94621-2910",1056,73RD AVE,True,94621,OAKLAND,041 414603800,11.435636411843099
2202,43996,2016 LIVING TRUST MONTGOMERY SHARON I TR,"Montgomery, Rodney R",6513001.0,Operators Of Apartment Buildings,"5323 PRINCETON ST OAKLAND, CA 94601-5812",5323,PRINCETON ST,False,94601,OAKLAND,035 239501000,0.7727721017169871
2203,43998,2016 LIVING TRUST MONTGOMERY SHARON I TR,"Montgomery, Rodney R",6513001.0,Operators Of Apartment Buildings,"1737 CHURCH ST OAKLAND, CA 94621-3439",1737,CHURCH ST,False,94621,OAKLAND,039 325101900,0.0
2204,44012,NEWTON ISAAC C TR,"NEWTON, ISAAC C",6513001.0,Operators Of Apartment Buildings,"8904 A ST OAKLAND, CA 94621-1128",8904,A ST,True,94621,OAKLAND,042 427002500,7.9601556380032505
2205,44014,ISAAC C NEWTON,"NEWTON, ISAAC C",6513001.0,Operators Of Apartment Buildings,"1472 81ST AVE OAKLAND, CA 94621-2340",1472,81ST AVE,True,94621,OAKLAND,040 336800800,6.430176499243459
2206,44028,ZAHN STEPHEN J & PATRICIA L,"Zahn, Stephen J",6513001.0,Operators Of Apartment Buildings,"2360 HIGH ST OAKLAND, CA 94601-4324",2360,HIGH ST,True,94601,OAKLAND,032 204500200,3.21007136417632
2207,44039,COOPER ARDIST JR & MARION J TR,"Cooper, Ardist (jr)",6513001.0,Operators Of Apartment Buildings,"1321 79TH AVE OAKLAND, CA 94621-2609",1321,79TH AVE,False,94621,OAKLAND,041 419504300,0.0
2208,44049,MYRAN J GIST,"GIST, MYRAN J",6513001.0,Operators Of Apartment Buildings,"2357 103RD AVE OAKLAND, CA 94603-3462",2357,103RD AVE,False,94603,OAKLAND,047 557401900,0.0
2209,44077,ROSEMARY S DARDEN,"Darden, Rosemary S",6513001.0,Operators Of Apartment Buildings,"2434 FERN ST OAKLAND, CA 94601-4842",2434,FERN ST,True,94601,OAKLAND,036 242603200,2.31511506931052
2210,44081,PAULETTE SATTERLEY,"Satterley, Paulette",6513001.0,Operators Of Apartment Buildings,"1444 76TH AVE OAKLAND, CA 94621-2709",1444,76TH AVE,True,94621,OAKLAND,040 331904200,0.0
2211,44115,9401 SAN LEANDRO LP,"Hothem, Trustee Linda E",6512001.0,Operators Of Nonresidential Buildings,"9401 SAN LEANDRO ST OAKLAND, CA 94603-2318",9401,SAN LEANDRO ST,False,94603,OAKLAND,044 498900102,2.27349640446809
2212,44116,9401 SAN LEANDRO LP,"Hothem, Trustee Linda E",6512001.0,Operators Of Nonresidential Buildings,"9601 SAN LEANDRO ST OAKLAND, CA 94603-2322",9601,SAN LEANDRO ST,False,94603,OAKLAND,044 498900607,0.0
2213,44117,RONALD HOTHEM TRUST,"Hothem, Trustee Linda E",6512001.0,Operators Of Nonresidential Buildings,"801 98TH AVE OAKLAND, CA 94603-2303",801,98TH AVE,False,94603,OAKLAND,044 498900610,11.511343044944198
2214,44119,RONALD HOTHEM TRUST,"Hothem, Trustee Linda E",6512001.0,Operators Of Nonresidential Buildings,"700 98TH AVE OAKLAND, CA 94603-2216",700,98TH AVE,True,94603,OAKLAND,044 500701200,13.4160288439334
2215,44168,BUTLER HAZEL L TR,"BUTLER, HAZEL L",6513001.0,Operators Of Apartment Buildings,"1239 78TH AVE OAKLAND, CA 94621-2603",1239,78TH AVE,False,94621,OAKLAND,041 419502200,0.0
2216,44215,DIEU NGOC TRAN,"Tran, Dieu Ngoc",6512001.0,Operators Of Nonresidential Buildings,"7744 INTERNATIONAL BLVD OAKLAND, CA 94621-2730",7744,INTERNATIONAL BLVD,True,94621,OAKLAND,040 335505500,3.1625251462845294
2217,44241,FORKASH PAUL E & SELMA TRS,"FORKASH, PAUL",6512001.0,Operators Of Nonresidential Buildings,"750 105TH AVE OAKLAND, CA 94603-3604",750,105TH AVE,True,94603,OAKLAND,045 526800300,0.0
2218,44242,FORKASH PAUL E & SELMA TRS,"FORKASH, PAUL",6512001.0,Operators Of Nonresidential Buildings,"750 106TH AVE OAKLAND, CA 94603-3606",750,106TH AVE,True,94603,OAKLAND,045 524901301,2.80449628815747
2219,44248,J R ROBERSON,"Roberson, J R",6513001.0,Operators Of Apartment Buildings,"5947 E 16TH ST OAKLAND, CA 94621-4208",5947,E 16TH ST,False,94621,OAKLAND,038 322000101,0.18082221258623604
2220,44252,BOURNAZOS COSTAS & SOPHIE TRS,"Bournazos, Costas",6512001.0,Operators Of Nonresidential Buildings,"1806 41ST AVE OAKLAND, CA 94601-4160",1806,41ST AVE,True,94601,OAKLAND,033 214900100,9.815019517525439
2221,44254,COSTAS BOURNAZOS,"Bournazos, Costas",6513001.0,Operators Of Apartment Buildings,"2012 38TH AVE OAKLAND, CA 94601-3761",2012,38TH AVE,True,94601,OAKLAND,032 209203100,5.562908459368369
2222,44275,MOHAMED H MOSLEH,"Mosleh, Mohamed H",6513001.0,Operators Of Apartment Buildings,"2122 HIGH ST OAKLAND, CA 94601-4352",2122,HIGH ST,True,94601,OAKLAND,032 208201600,12.805879157911301
2223,44277,MOSLEH MOHAMED H & HEZAM N,"Mosleh, Mohamed H",6512001.0,Operators Of Nonresidential Buildings,"3318 SAN LEANDRO ST OAKLAND, CA 94601-3440",3318,SAN LEANDRO ST,True,94601,OAKLAND,033 218700302,10.0950306384057
2224,44279,MOSLEH MOHAMED H & HEZAM N,"Mosleh, Mohamed H",6512001.0,Operators Of Nonresidential Buildings,"2338 INTERNATIONAL BLVD OAKLAND, CA 94601-1066",2338,INTERNATIONAL BLVD,True,94601,OAKLAND,020 015300901,5.01662076407417
2225,44329,ALICIA HERNANDEZ,"Hernandez, Jesus",6513001.0,Operators Of Apartment Buildings,"1433 29TH AVE OAKLAND, CA 94601-2308",1433,29TH AVE,False,94601,OAKLAND,025 071401800,0.0
2226,44331,ALICIA HERNANDEZ,"Hernandez, Jesus",6513001.0,Operators Of Apartment Buildings,"1424 48TH AVE OAKLAND, CA 94601-5225",1424,48TH AVE,True,94601,OAKLAND,035 236102700,6.622502762732849
2227,44335,ALICIA HERNANDEZ,"Hernandez, Jesus",6513001.0,Operators Of Apartment Buildings,"832 LISBON AVE OAKLAND, CA 94601-1446",832,LISBON AVE,True,94601,OAKLAND,019 008402500,4.49432111646142
2228,44337,ALICIA HERNANDEZ,"Hernandez, Jesus",6513001.0,Operators Of Apartment Buildings,"2829 E 10TH ST OAKLAND, CA 94601-1420",2829,E 10TH ST,False,94601,OAKLAND,019 009303800,4.33398611872499
2229,44339,ALICIA HERNANDEZ,"Hernandez, Jesus",6512001.0,Operators Of Nonresidential Buildings,"2701 E 9TH ST OAKLAND, CA 94601-1406",2701,E 9TH ST,False,94601,OAKLAND,019 008200301,12.454687516930802
2230,44342,CASTILLO ROBERTO & BLANCA F,"Castillo, Roberto",6513001.0,Operators Of Apartment Buildings,"2515 HARRINGTON AVE OAKLAND, CA 94601-3813",2515,HARRINGTON AVE,False,94601,OAKLAND,032 210102001,0.0
2231,44344,ROSS ALBERTA TR,"ROSS, ALBERTA",6513001.0,Operators Of Apartment Buildings,"2016 57TH AVE OAKLAND, CA 94621-4320",2016,57TH AVE,True,94621,OAKLAND,038 323705901,3.6952961326972997
2232,44353,NGO MARTIN M TR,"Ngo, Martin M",6513001.0,Operators Of Apartment Buildings,"1646 51ST AVE OAKLAND, CA 94601-5237",1646,51ST AVE,True,94601,OAKLAND,035 236201400,3.47510945853897
2233,44377,SUN KEE CHUNG,"Chung, Sun K",6513001.0,Operators Of Apartment Buildings,"15 PEROLY CT OAKLAND, CA 94601-1936",15,PEROLY CT,False,94601,OAKLAND,026 077101302,0.6877637596897671
2234,44382,JOSE A PATINO,"Patino, Jose A",6513001.0,Operators Of Apartment Buildings,"1621 FRUITVALE AVE OAKLAND, CA 94601-2423",1621,FRUITVALE AVE,False,94601,OAKLAND,033 211900100,10.6103480899192
2235,44388,PATINO JOSE A & AURORA Y TRS,"Patino, Jose A",6513001.0,Operators Of Apartment Buildings,"1500 29TH AVE OAKLAND, CA 94601-2356",1500,29TH AVE,True,94601,OAKLAND,025 071401200,4.783930593241459
2236,44416,CHEUNG CONNIE,"CHEUNG, CONNIE",6513001.0,Operators Of Apartment Buildings,"2331 E 23RD ST OAKLAND, CA 94601-1233",2331,E 23RD ST,False,94601,OAKLAND,026 075700401,0.0
2237,44418,CHEUNG CONNIE,"CHEUNG, CONNIE",6513001.0,Operators Of Apartment Buildings,"2319 E 23RD ST OAKLAND, CA 94601-1233",2319,E 23RD ST,False,94601,OAKLAND,026 075700200,0.0
2238,44426,NISSAN SAIDIAN,"Saidian, Nissan",6512001.0,Operators Of Nonresidential Buildings,"8255 SAN LEANDRO ST OAKLAND, CA 94621-1904",8255,SAN LEANDRO ST,False,94621,OAKLAND,041 420800505,0.0
2239,44435,FIRST BARBARA INC,"Silveira, J W",6512001.0,Operators Of Nonresidential Buildings,"5801 INTERNATIONAL BLVD OAKLAND, CA 94621-4228",5801,INTERNATIONAL BLVD,False,94621,OAKLAND,038 323400701,13.853759827851698
2240,44468,CHANG GUADALUPE TR,"Chang, Guadalupe",6512001.0,Operators Of Nonresidential Buildings,"4778 INTERNATIONAL BLVD OAKLAND, CA 94601-5210",4778,INTERNATIONAL BLVD,True,94601,OAKLAND,035 235901800,4.51771390934959
2241,44473,ABRAMS EDWARD E & ROSE M TRS,"ABRAMS, EDWARD E",6513001.0,Operators Of Apartment Buildings,"10004 E ST OAKLAND, CA 94603-3163",10004,E ST,True,94603,OAKLAND,045 518201600,8.8253986622659
2242,44508,MITCHELL ANNIE M,"Mitchell, Annie M",6513001.0,Operators Of Apartment Buildings,"1747 81ST AVE OAKLAND, CA 94621-2305",1747,81ST AVE,False,94621,OAKLAND,040 337000900,2.06280453404929
2243,44548,FRUITVALE PROPERTIES,"PAUL, AARON",6513001.0,Operators Of Apartment Buildings,"3039 E 16TH ST OAKLAND, CA 94601-2329",3039,E 16TH ST,False,94601,OAKLAND,025 072100502,0.0
2244,44550,FRUITVALE PROPERTIES,"PAUL, AARON",6513001.0,Operators Of Apartment Buildings,"3043 E 16TH ST OAKLAND, CA 94601-2328",3043,E 16TH ST,False,94601,OAKLAND,025 072100502,0.0
2245,44552,FRUITVALE PROPERTIES,"PAUL, AARON",6513001.0,Operators Of Apartment Buildings,"1545 FRUITVALE AVE OAKLAND, CA 94601-2331",1545,FRUITVALE AVE,False,94601,OAKLAND,033 212102800,6.53233377176983
2246,44583,HILL WILLIE L,"HILL, WILLIE LEE",6513001.0,Operators Of Apartment Buildings,"9888 BANCROFT AVE OAKLAND, CA 94603-2842",9888,BANCROFT AVE,True,94603,OAKLAND,046 546700606,12.188453985648598
2247,44618,TERRY D BULLER,"BULLER, TERRY D",6513001.0,Operators Of Apartment Buildings,"2000 HARRINGTON AVE OAKLAND, CA 94601-3745",2000,HARRINGTON AVE,True,94601,OAKLAND,032 209103200,11.079493317787302
2248,44628,KWEE L & KWANG P ONG,"ONG, KWEE L",6513001.0,Operators Of Apartment Buildings,"2011 HIGH ST OAKLAND, CA 94601-4619",2011,HIGH ST,False,94601,OAKLAND,035 240901300,17.894620873894898
2249,44630,ROBERT M & MARIA ISABEL R GONZALEZ,"GONZALEZ, ROBERT M",6513001.0,Operators Of Apartment Buildings,"1698 35TH AVE OAKLAND, CA 94601-3614",1698,35TH AVE,True,94601,OAKLAND,033 212900100,14.9774581855588
2250,44648,ROCKZAL LOCKHART ANDERSON,"Anderson, Rockzal",6513001.0,Operators Of Apartment Buildings,"8208 PLYMOUTH ST OAKLAND, CA 94621-2232",8208,PLYMOUTH ST,True,94621,OAKLAND,043 455801601,2.9168818685834403
2251,44670,TERENCE N & PHYLLIS T KHA,"KHA, TERENCE N",6513001.0,Operators Of Apartment Buildings,"2301 E 26TH ST OAKLAND, CA 94601-1213",2301,E 26TH ST,False,94601,OAKLAND,026 077800100,12.0663181122845
2252,44674,TERENCE N & PHYLLIS T KHA,"KHA, TERENCE N",6513001.0,Operators Of Apartment Buildings,"2328 E 17TH ST OAKLAND, CA 94601-1134",2328,E 17TH ST,True,94601,OAKLAND,020 020501100,10.7454589073949
2253,44706,MARTIN FRANKLIN R & LAURA J,"Martin, Franklin R",6513001.0,Operators Of Apartment Buildings,"9411 WALNUT ST OAKLAND, CA 94603-1539",9411,WALNUT ST,False,94603,OAKLAND,046 543002900,3.7127109140768395
2254,44728,SHERMAN ASHLEE,"Sherman, Ashlee",6513001.0,Operators Of Apartment Buildings,"7431 WELD ST OAKLAND, CA 94621-2713",7431,WELD ST,False,94621,OAKLAND,040 332203400,0.0
2255,44744,MORRIS KENNETH W TR,"Morris, Kenneth (tr) W",6512001.0,Operators Of Nonresidential Buildings,"8300 BALDWIN ST OAKLAND, CA 94621-1926",8300,BALDWIN ST,True,94621,OAKLAND,042 431804601,0.3783666976104289
2256,44745,MORRIS KENNETH W TR,"Morris, Kenneth (tr) W",6512001.0,Operators Of Nonresidential Buildings,"685 85TH AVE OAKLAND, CA 94621-1254",685,85TH AVE,False,94621,OAKLAND,042 431800800,0.0
2257,44773,EARL MCKELVY,"Mckelvy, Earl",6513001.0,Operators Of Apartment Buildings,"2037 CHURCH ST OAKLAND, CA 94621-3445",2037,CHURCH ST,False,94621,OAKLAND,039 326202600,0.0
2258,44797,JAUREGUI HECTOR & MARIA I TR,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1701 37TH AVE OAKLAND, CA 94601-3543",1701,37TH AVE,False,94601,OAKLAND,033 213601800,11.247416680991199
2259,44799,JAUREGUI HECTOR & MARIA I TR,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1357 52ND AVE OAKLAND, CA 94601-5724",1357,52ND AVE,False,94601,OAKLAND,034 227300800,0.0
2260,44801,JAUREGUI HECTOR & MARIA I TR,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1232 52ND AVE OAKLAND, CA 94601-5723",1232,52ND AVE,True,94601,OAKLAND,034 227402700,10.0996547927922
2261,44803,JAUREGUI HECTOR & MARIA I,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"3492 DAVIS ST OAKLAND, CA 94601-3232",3492,DAVIS ST,True,94601,OAKLAND,027 088601500,6.11022855019904
2262,44805,JAUREGUI HECTOR & MARIA I,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1576 34TH AVE OAKLAND, CA 94601-3024",1576,34TH AVE,True,94601,OAKLAND,033 212401601,3.9161283603589703
2263,44807,JAUREGUI HECTOR & MARIA I,"JAUREGUI, MARIA I",6512001.0,Operators Of Nonresidential Buildings,"1210 52ND AVE OAKLAND, CA 94601-5723",1210,52ND AVE,True,94601,OAKLAND,034 227402501,5.63757269240316
2264,44808,JAUREGUI HECTOR & MARIA I TR,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1605 50TH AVE OAKLAND, CA 94601-5230",1605,50TH AVE,False,94601,OAKLAND,035 236100800,0.0
2265,44814,JAUREGUI HECTOR & MARIA I TRS,"JAUREGUI, MARIA I",6512001.0,Operators Of Nonresidential Buildings,"5108 INTERNATIONAL BLVD OAKLAND, CA 94601-5218",5108,INTERNATIONAL BLVD,True,94601,OAKLAND,035 236303200,6.37910781493044
2266,44815,JAUREGUI HECTOR & MARIA I TRS,"JAUREGUI, MARIA I",6512001.0,Operators Of Nonresidential Buildings,"5104 INTERNATIONAL BLVD OAKLAND, CA 94601-5218",5104,INTERNATIONAL BLVD,True,94601,OAKLAND,035 236303200,9.784320418202789
2267,44816,JAUREGUI HECTOR & IRMA M,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"5350 PRINCETON ST OAKLAND, CA 94601-5813",5350,PRINCETON ST,True,94601,OAKLAND,035 239301200,1.3151426064053402
2268,44818,JAUREGUI HECTOR & MARIA I TRS & JAUREGUI OCTAVIO E,"JAUREGUI, MARIA I",6512001.0,Operators Of Nonresidential Buildings,"1201 52ND AVE OAKLAND, CA 94601-5722",1201,52ND AVE,False,94601,OAKLAND,034 227900600,14.2682147513099
2269,44819,JAUREGUI HECTOR & MARIA I,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"1545 33RD AVE OAKLAND, CA 94601-3015",1545,33RD AVE,False,94601,OAKLAND,033 212100600,0.0
2270,44821,JAUREGUI HECTOR & MARIA I TR,"JAUREGUI, MARIA I",6513001.0,Operators Of Apartment Buildings,"3228 FARNAM ST OAKLAND, CA 94601-3032",3228,FARNAM ST,True,94601,OAKLAND,033 212300200,0.0
2271,44824,JAUREGUI HECTOR & MARIA I TRS & JAUREGUI OCTA ETAL,"JAUREGUI, MARIA I",6512001.0,Operators Of Nonresidential Buildings,"5118 INTERNATIONAL BLVD OAKLAND, CA 94601-5218",5118,INTERNATIONAL BLVD,True,94601,OAKLAND,035 236303200,4.20018501048075
2272,44845,MACIAS ONOFRE & MARIA F TR,"Macias, Onofre",6513001.0,Operators Of Apartment Buildings,"10719 RUSSET ST OAKLAND, CA 94603-3733",10719,RUSSET ST,False,94603,OAKLAND,045 525602600,0.0
2273,44847,MACIAS ONOFRE & MARIA F TR,"Macias, Onofre",6513001.0,Operators Of Apartment Buildings,"1339 102ND AVE OAKLAND, CA 94603-3106",1339,102ND AVE,False,94603,OAKLAND,045 517101001,0.0
2274,44849,MACIAS ONOFRE & MARIA F TR,"Macias, Onofre",6513001.0,Operators Of Apartment Buildings,"1337 102ND AVE OAKLAND, CA 94603-3129",1337,102ND AVE,False,94603,OAKLAND,045 517101100,0.0
2275,44878,CHUNG LI CHENG & SU CHU CHOU CHENG,"CHENG, CHUNG LI",6513001.0,Operators Of Apartment Buildings,"2129 COURTLAND AVE OAKLAND, CA 94601-4724",2129,COURTLAND AVE,False,94601,OAKLAND,032 204700900,13.5482485543207
2276,44880,CHUNG LI CHENG & SU CHU CHOU CHENG,"CHENG, CHUNG LI",6513001.0,Operators Of Apartment Buildings,"1436 71ST AVE OAKLAND, CA 94621-3108",1436,71ST AVE,True,94621,OAKLAND,039 331003300,0.0308366673868985
2277,44888,HENDERSON JOE D & EMMA TR,"Henderson, Joe D",6513001.0,Operators Of Apartment Buildings,"1115 62ND AVE OAKLAND, CA 94621-3919",1115,62ND AVE,False,94621,OAKLAND,041 389501000,0.0
2278,44890,HENDERSON JOE D & EMMA TR,"Henderson, Joe D",6513001.0,Operators Of Apartment Buildings,"6225 FENHAM ST OAKLAND, CA 94621-3701",6225,FENHAM ST,False,94621,OAKLAND,041 405204300,14.6368307832436
2279,44892,HENDERSON JOE D & EMMA TR,"Henderson, Joe D",6513001.0,Operators Of Apartment Buildings,"9316 SUNNYSIDE ST OAKLAND, CA 94603-1736",9316,SUNNYSIDE ST,True,94603,OAKLAND,046 547001200,10.8725131668552
2280,44894,HENDERSON JOE D & EMMA TR,"Henderson, Joe D",6513001.0,Operators Of Apartment Buildings,"1539 80TH AVE OAKLAND, CA 94621-2335",1539,80TH AVE,False,94621,OAKLAND,040 335801300,0.0
2281,44898,SUTTON KEVIN H & CONSTANCE M TRS,"SUTTON, KEVIN",6513001.0,Operators Of Apartment Buildings,"2905 BONA ST OAKLAND, CA 94601-2762",2905,BONA ST,False,94601,OAKLAND,027 085201700,1.2215668684158
2282,44943,W B & ANNIES MCCARDEN,"Mccarden, Willie B",6513001.0,Operators Of Apartment Buildings,"1352 SEMINARY AVE OAKLAND, CA 94621-3952",1352,SEMINARY AVE,True,94621,OAKLAND,041 388205100,9.74810299827693
2283,44981,PUN KUNG H & PUN KUNG H TRUST,"Pun, Kung H",6513001.0,Operators Of Apartment Buildings,"3505 GALINDO ST OAKLAND, CA 94601-3721",3505,GALINDO ST,False,94601,OAKLAND,032 211400500,0.5967702133291
2284,44983,PUN KUNG H & YU SIU F TR,"Pun, Kung H",6512001.0,Operators Of Nonresidential Buildings,"2068 35TH AVE OAKLAND, CA 94601-3153",2068,35TH AVE,True,94601,OAKLAND,032 211400200,5.89177667591211
